axiom_id	constraint_id	constraint_type	description	evidence_source	positive_cases	known_failures	validated_projects	last_validated	status
3	3.1	MUST	自动编号=拼音缩写(2-4字母)+YYYYMMDD+3位流水号	几建: 80个编号	80	纯数字序号→后期找不到对应业务域	几建,尚策,赫立全系列	2026-06-25	observed
3	3.2	MUST	子表命名用中文全角括号标注父表名	几建: 16表	16	不加括号/英文半角括号→层级关系不清	几建	2026-06-25	observed
3	3.3	MUST	单选颜色冷→暖语义梯度(蓝→青→绿→黄→橙→红)	几建: 全部单选	—	随机颜色；红色表示正常→状态不可读	几建	2026-06-25	observed
3	3.4	MUST	工作流命名=动词+名词（条件）	几建: 全部工作流	—	只写名词或笼统描述→功能不可识别	几建	2026-06-25	observed
3	3.5	MUST	通知消息用【字段名】内联引用流程字段值	几建: 全部通知	—	默认消息→丢失业务上下文	几建	2026-06-25	observed
3	3.6	MUST	布尔字段以"是否XX"开头	几建: 全部布尔字段	—	英文命名→维护者不理解含义	几建	2026-06-25	observed
3	3.7	MUST	字段排列=身份标识→业务属性→关联引用→计算汇总	几建: 全部工作表	—	随机排列；关联引用放在最前面→数据流不可追踪	几建	2026-06-25	observed
3	3.8	MUST	打印模板用"获取记录打印文件"+自定义模板；文件名=记录标题字段	几建: 85个自定义模板	85	系统默认模板→格式不满足业务需求	几建	2026-06-25	observed
3	3.9	MUST_NOT	禁止纯数字序号；禁止不携带日期信息的编号	几建: 0例违反	0	—	几建	2026-06-25	observed
3	3.10	MUST_NOT	禁止不加括号区分子表；禁止英文半角括号	几建: 0例违反	0	—	几建	2026-06-25	observed
3	3.11	MUST_NOT	禁止随机颜色；禁止红色表示正常	几建: 0例违反	0	—	几建	2026-06-25	observed
3	3.12	MUST_NOT	禁止覆盖默认流程状态颜色	几建: 0例违反	0	—	几建	2026-06-25	observed
3	3.13	MUST_NOT	禁止英文命名或模糊缩写布尔字段	几建: 0例违反	0	—	几建	2026-06-25	observed
4	4.1	MUST	关联表(类型29)单向引用；Hub-Spoke星型拓扑	几建: 0/1014双向	1014	双向关联→触发循环、权限混乱	几建,尚策,赫立全系列	2026-06-25	observed
4	4.2	MUST	Hub表集中核心实体属性，被所有相关表单向引用	几建: 12业务域	12	多表重复存储→数据不一致	几建	2026-06-25	observed
4	4.3	MUST	他表字段仅用于只读汇总/报表场景	几建: 关联:他表=4.6:1	761	核心业务表中作主要引用→破坏Hub模型	几建	2026-06-25	observed
4	4.4	MUST_NOT	禁止双向关联(A→B且B→A)	几建: 0例违反	0	—	几建	2026-06-25	observed
4	4.5	MUST_NOT	禁止多表重复存储同一实体属性	几建: 0例违反	0	—	几建	2026-06-25	observed
4	4.6	MUST_NOT	禁止核心业务表中以他表字段为主要引用手段	几建: 0例违反	0	—	几建	2026-06-25	observed
5	5.1	MUST	查询/获取节点未获取到数据→继续执行之后节点	几建: 324个获取节点	324	"未获取到数据时中止流程"→因一条数据缺失硬中断	几建,尚策,赫立全系列	2026-06-25	observed
5	5.2	MUST	子流程逐条执行，中止时继续下一条	几建: 121个子流程	121	并行执行→并发写冲突；中止时不再触发后续	几建	2026-06-25	observed
5	5.3	MUST	状态、日期、拥有者字段始终设默认值	几建: 162个新增节点	162	留空期望手动填写→空数据传播到下游	几建	2026-06-25	observed
5	5.4	MUST	审批人为空由流程拥有者代理（不阻塞）	几建: 全部审批	—	流程卡住等待→影响业务连续性	几建	2026-06-25	observed
5	5.5	MUST_NOT	禁止查询未获取到数据时中止流程	几建: 0例违反	0	—	几建	2026-06-25	observed
5	5.6	MUST_NOT	禁止子流程并行执行；禁止中止时不再触发后续	几建: 0例违反	0	—	几建	2026-06-25	observed
5	5.7	MUST_NOT	禁止状态/日期/拥有者字段留空期望手动填写	几建: 0例违反	0	—	几建	2026-06-25	observed
